nohup: ignoring input
==================================================
训练启动，参数配置如下：
epochs: 1000
patience: 10
lr: 0.001
hidden_dim: 256
out_dim: 128
num_layers: 4
save_path: save/graph_emb
data_path: data/Beijing_community.csv
==================================================
训练结果将保存到: save/graph_emb/2025-07-29_11-34-54
========== 开始训练，共 1000 轮 ==========
Epoch 0, Loss: 9.0517, Best: 9.0517
Epoch 1, Loss: 9.0658, Best: 9.0517
Epoch 2, Loss: 8.9800, Best: 8.9800
Epoch 3, Loss: 8.8782, Best: 8.8782
Epoch 4, Loss: 8.8309, Best: 8.8309
Epoch 5, Loss: 8.7349, Best: 8.7349
Epoch 6, Loss: 8.5524, Best: 8.5524
Epoch 7, Loss: 8.2727, Best: 8.2727
Epoch 8, Loss: 7.8948, Best: 7.8948
Epoch 9, Loss: 7.5806, Best: 7.5806
Epoch 10, Loss: 8.7243, Best: 7.5806
Epoch 11, Loss: 7.3578, Best: 7.3578
Epoch 12, Loss: 7.7224, Best: 7.3578
Epoch 13, Loss: 7.4670, Best: 7.3578
Epoch 14, Loss: 7.2121, Best: 7.2121
Epoch 15, Loss: 6.9701, Best: 6.9701
Epoch 16, Loss: 6.5693, Best: 6.5693
Epoch 17, Loss: 6.2208, Best: 6.2208
Epoch 18, Loss: 6.0576, Best: 6.0576
Epoch 19, Loss: 6.0107, Best: 6.0107
Epoch 20, Loss: 5.9090, Best: 5.9090
Epoch 21, Loss: 5.5205, Best: 5.5205
Epoch 22, Loss: 5.5496, Best: 5.5205
Epoch 23, Loss: 5.2328, Best: 5.2328
Epoch 24, Loss: 5.2344, Best: 5.2328
Epoch 25, Loss: 5.0341, Best: 5.0341
Epoch 26, Loss: 4.9483, Best: 4.9483
Epoch 27, Loss: 4.8386, Best: 4.8386
Epoch 28, Loss: 4.6809, Best: 4.6809
Epoch 29, Loss: 4.6021, Best: 4.6021
Epoch 30, Loss: 4.4828, Best: 4.4828
Epoch 31, Loss: 4.3619, Best: 4.3619
Epoch 32, Loss: 4.2890, Best: 4.2890
Epoch 33, Loss: 4.1344, Best: 4.1344
Epoch 34, Loss: 4.0613, Best: 4.0613
Epoch 35, Loss: 3.9412, Best: 3.9412
Epoch 36, Loss: 3.8429, Best: 3.8429
Epoch 37, Loss: 3.7232, Best: 3.7232
Epoch 38, Loss: 3.6402, Best: 3.6402
Epoch 39, Loss: 3.5333, Best: 3.5333
Epoch 40, Loss: 3.4688, Best: 3.4688
Epoch 41, Loss: 3.3677, Best: 3.3677
Epoch 42, Loss: 3.2980, Best: 3.2980
Epoch 43, Loss: 3.2274, Best: 3.2274
Epoch 44, Loss: 3.1717, Best: 3.1717
Epoch 45, Loss: 3.0977, Best: 3.0977
Epoch 46, Loss: 3.0371, Best: 3.0371
Epoch 47, Loss: 2.9684, Best: 2.9684
Epoch 48, Loss: 2.9235, Best: 2.9235
Epoch 49, Loss: 2.8570, Best: 2.8570
Epoch 50, Loss: 2.8034, Best: 2.8034
Epoch 51, Loss: 2.7410, Best: 2.7410
Epoch 52, Loss: 2.6983, Best: 2.6983
Epoch 53, Loss: 2.6455, Best: 2.6455
