nohup: ignoring input
==================================================
训练启动，参数配置如下：
epochs: 1000
patience: 10
lr: 0.001
hidden_dim: 256
out_dim: 128
num_layers: 0
save_path: save/graph_emb
data_path: data/Beijing_community.csv
==================================================
训练结果将保存到: save/graph_emb/2025-07-29_11-35-07
========== 开始训练，共 1000 轮 ==========
Epoch 0, Loss: 9.1951, Best: 9.1951
Epoch 1, Loss: 9.5043, Best: 9.1951
Epoch 2, Loss: 8.7600, Best: 8.7600
Epoch 3, Loss: 8.8002, Best: 8.7600
Epoch 4, Loss: 8.6906, Best: 8.6906
Epoch 5, Loss: 8.5306, Best: 8.5306
Epoch 6, Loss: 8.3653, Best: 8.3653
Epoch 7, Loss: 8.1266, Best: 8.1266
Epoch 8, Loss: 7.7451, Best: 7.7451
Epoch 9, Loss: 7.3289, Best: 7.3289
Epoch 10, Loss: 6.8493, Best: 6.8493
Epoch 11, Loss: 6.2906, Best: 6.2906
Epoch 12, Loss: 5.6862, Best: 5.6862
Epoch 13, Loss: 5.4290, Best: 5.4290
Epoch 14, Loss: 5.2443, Best: 5.2443
Epoch 15, Loss: 5.0055, Best: 5.0055
Epoch 16, Loss: 4.7254, Best: 4.7254
Epoch 17, Loss: 4.4323, Best: 4.4323
Epoch 18, Loss: 4.1825, Best: 4.1825
Epoch 19, Loss: 3.9485, Best: 3.9485
Epoch 20, Loss: 3.7752, Best: 3.7752
Epoch 21, Loss: 3.6241, Best: 3.6241
Epoch 22, Loss: 3.4837, Best: 3.4837
Epoch 23, Loss: 3.3401, Best: 3.3401
Epoch 24, Loss: 3.2024, Best: 3.2024
Epoch 25, Loss: 3.0748, Best: 3.0748
Epoch 26, Loss: 2.9538, Best: 2.9538
Epoch 27, Loss: 2.8441, Best: 2.8441
Epoch 28, Loss: 2.7433, Best: 2.7433
Epoch 29, Loss: 2.6530, Best: 2.6530
Epoch 30, Loss: 2.5620, Best: 2.5620
Epoch 31, Loss: 2.4689, Best: 2.4689
Epoch 32, Loss: 2.3820, Best: 2.3820
Epoch 33, Loss: 2.2987, Best: 2.2987
Epoch 34, Loss: 2.2205, Best: 2.2205
Epoch 35, Loss: 2.1456, Best: 2.1456
Epoch 36, Loss: 2.0742, Best: 2.0742
Epoch 37, Loss: 2.0097, Best: 2.0097
Epoch 38, Loss: 1.9437, Best: 1.9437
Epoch 39, Loss: 1.8808, Best: 1.8808
Epoch 40, Loss: 1.8199, Best: 1.8199
